PDB_COMPLEX_ID,ENTRY_ID,ASSEMBLY_ID,BOUND_MOLECULE_TYPE,TOTAL_CHAIN_COUNT
PDB-CPX-100156,8urh,1,tRNA,2
PDB-CPX-100157,8uri,1,tRNA,2
PDB-CPX-100158,8urx,1,tRNA,2
PDB-CPX-100159,7cpj,1,tRNA,1
PDB-CPX-100159,7cpj,1,mRNA,1
PDB-CPX-100161,6s0k,1,short RNA,1
PDB-CPX-100166,9e7y,1,short RNA,1
PDB-CPX-100167,9e85,1,short RNA,1
PDB-CPX-100168,9e86,1,short RNA,1
PDB-CPX-100170,9e88,1,short RNA,1
PDB-CPX-100171,9e84,1,short RNA,1
PDB-CPX-100177,7e53,1,antibody,1
PDB-CPX-100190,6mjz,1,antibody,2
PDB-CPX-100191,8tqk,1,antibody,3
PDB-CPX-100192,9b2w,1,antibody,4
PDB-CPX-100192,9dzq,1,antibody,8
PDB-CPX-100195,6wf1,1,antibody,6
PDB-CPX-100196,9bu6,1,antibody,6
PDB-CPX-100196,9bu8,1,antibody,6
PDB-CPX-100209,6wqh,1,peptide,1
PDB-CPX-100209,7ypk,1,peptide,1
PDB-CPX-100232,8gse,1,antibody,2
PDB-CPX-100233,8gsf,1,antibody,240
PDB-CPX-100234,8gsc,1,antibody,120
PDB-CPX-100235,8gsd,1,antibody,120
PDB-CPX-100237,7eak,1,antibody,120
PDB-CPX-100259,4yov,1,short DNA,3
PDB-CPX-100259,4yow,1,short DNA,3
PDB-CPX-100259,4yox,1,short DNA,3
PDB-CPX-100259,4yoy,1,short DNA,3
PDB-CPX-100273,7nwg,1,tRNA,2
PDB-CPX-100273,7nwg,1,mRNA,1
PDB-CPX-100273,7nwg,1,peptide,1
PDB-CPX-100274,7nwh,1,mRNA,1
PDB-CPX-100275,7nwi,1,tRNA,1
PDB-CPX-100275,7nwi,1,mRNA,1
PDB-CPX-100275,7nwi,1,peptide,1
PDB-CPX-100277,7ase,1,tRNA,1
PDB-CPX-100283,9ofb,1,short RNA,2
PDB-CPX-100284,9ofc,1,short RNA,6
PDB-CPX-100284,9ofd,1,short RNA,2
PDB-CPX-100284,9ofe,1,short RNA,4
PDB-CPX-100320,6wxl,1,antibody,6
PDB-CPX-100341,6pci,1,antibody,12
PDB-CPX-100341,6uye,1,antibody,6
PDB-CPX-100343,8ip0,1,short DNA,2
PDB-CPX-100344,8h67,1,short DNA,2
PDB-CPX-100345,8h7q,1,short DNA,1
PDB-CPX-100346,7lgj,1,peptide,4
PDB-CPX-100346,7lgq,1,peptide,8
PDB-CPX-100346,7txu,1,peptide,8
PDB-CPX-100346,7txv,1,peptide,8
PDB-CPX-100382,6jfa,1,peptide,1
PDB-CPX-100392,9ndj,1,peptide,1
PDB-CPX-100416,5hhm,1,peptide,1
PDB-CPX-100416,5hhm,2,peptide,1
PDB-CPX-100416,5hho,1,peptide,1
PDB-CPX-100426,7ndu,1,peptide,1
PDB-CPX-100436,6n6b,1,antibody,8
PDB-CPX-100437,6wzt,1,antibody,6
PDB-CPX-100450,8ok9,1,short DNA,2
PDB-CPX-100450,8qg0,1,short DNA,1
PDB-CPX-100450,8qg0,1,short RNA,1
PDB-CPX-100455,8ume,1,antibody,6
PDB-CPX-100457,9qg8,1,peptide,1
PDB-CPX-100460,8b2l,1,tRNA,2
PDB-CPX-100460,8b2l,1,mRNA,1
PDB-CPX-100461,8auv,1,mRNA,1
PDB-CPX-100471,6jim,1,short RNA,1
PDB-CPX-100471,6jim,2,short RNA,1
PDB-CPX-100475,9fzx,1,short DNA,3
PDB-CPX-100477,7nks,1,antibody,2
PDB-CPX-100477,7nks,2,antibody,2
PDB-CPX-100477,7nrh,1,antibody,2
PDB-CPX-100477,7o9s,1,antibody,2
PDB-CPX-100477,8zgu,1,antibody,2
PDB-CPX-100520,8ip8,1,tRNA,1
PDB-CPX-100520,8ip8,1,mRNA,1
PDB-CPX-100520,8ip8,1,short RNA,1
PDB-CPX-100521,8ipa,1,tRNA,1
PDB-CPX-100521,8ipa,1,mRNA,1
PDB-CPX-100522,8ipb,1,tRNA,1
PDB-CPX-100522,8ipb,1,mRNA,1
PDB-CPX-100523,8ip9,1,tRNA,1
PDB-CPX-100523,8ip9,1,mRNA,1
PDB-CPX-100528,7p48,1,tRNA,1
PDB-CPX-100528,7p48,1,mRNA,1
PDB-CPX-100531,5t7v,1,tRNA,1
PDB-CPX-100536,6hmz,1,peptide,1
PDB-CPX-100588,8q7z,1,tRNA,1
PDB-CPX-100589,8q87,1,tRNA,1
PDB-CPX-100590,9qqb,1,tRNA,1
PDB-CPX-100590,9qqb,1,peptide,1
PDB-CPX-100591,8p2k,1,tRNA,1
PDB-CPX-100595,8btk,1,tRNA,1
PDB-CPX-100595,8btk,1,mRNA,1
PDB-CPX-100596,9qqa,1,tRNA,1
PDB-CPX-100596,9qqa,1,peptide,1
PDB-CPX-100597,8vft,1,tRNA,2
PDB-CPX-100597,8vft,1,mRNA,1
PDB-CPX-100598,7tut,1,tRNA,1
PDB-CPX-100599,8scb,1,tRNA,2
PDB-CPX-100602,9cpa,1,tRNA,1
PDB-CPX-100603,6yam,1,tRNA,1
PDB-CPX-100606,7tor,1,tRNA,2
PDB-CPX-100606,7tor,1,mRNA,1
PDB-CPX-100607,9ndp,1,tRNA,1
PDB-CPX-100607,9ndp,1,mRNA,1
PDB-CPX-100608,8bhf,1,tRNA,1
PDB-CPX-100608,8bhf,1,mRNA,1
PDB-CPX-100608,8bhf,1,peptide,1
PDB-CPX-100609,6yal,1,tRNA,1
PDB-CPX-100610,6yan,1,tRNA,1
PDB-CPX-100611,8p03,1,tRNA,1
PDB-CPX-100611,8p03,1,mRNA,1
PDB-CPX-100612,8p09,1,tRNA,1
PDB-CPX-100612,8p09,1,mRNA,1
PDB-CPX-100617,7o80,1,tRNA,1
PDB-CPX-100618,7o7y,1,tRNA,1
PDB-CPX-100619,7o7z,1,tRNA,1
PDB-CPX-100620,7o81,1,tRNA,2
PDB-CPX-100621,9mr4,1,tRNA,1
PDB-CPX-100621,9mr4,1,mRNA,1
PDB-CPX-100622,7mdz,1,tRNA,1
PDB-CPX-100622,7mdz,1,mRNA,1
PDB-CPX-100627,9bdn,1,tRNA,3
PDB-CPX-100627,9bdn,1,mRNA,1
PDB-CPX-100628,9bdp,1,tRNA,3
PDB-CPX-100628,9bdp,1,mRNA,1
PDB-CPX-100629,9bdl,1,tRNA,2
PDB-CPX-100629,9bdl,1,mRNA,1
PDB-CPX-100631,7ucj,1,tRNA,1
PDB-CPX-100631,7ucj,1,mRNA,1
PDB-CPX-100632,7uck,1,tRNA,1
PDB-CPX-100632,7uck,1,mRNA,1
PDB-CPX-100633,7syw,1,tRNA,1
PDB-CPX-100634,7syr,1,tRNA,1
PDB-CPX-100634,7sys,1,tRNA,1
PDB-CPX-100636,7syp,1,mRNA,1
PDB-CPX-100636,7syt,1,tRNA,1
PDB-CPX-100636,7syu,1,tRNA,1
PDB-CPX-100637,7syx,1,tRNA,1
PDB-CPX-100638,7syv,1,tRNA,1
PDB-CPX-100640,7tm3,1,tRNA,1
PDB-CPX-100641,8rjc,1,tRNA,1
PDB-CPX-100642,8rjd,1,tRNA,1
PDB-CPX-100643,8rjb,1,tRNA,1
PDB-CPX-100644,9f1c,1,mRNA,1
PDB-CPX-100645,9f1d,1,mRNA,1
PDB-CPX-100646,9f1b,1,mRNA,1
PDB-CPX-100652,8vvq,1,tRNA,3
PDB-CPX-100652,8vvq,1,mRNA,1
PDB-CPX-100652,8vvq,1,peptide,2
PDB-CPX-100653,8vvr,1,tRNA,3
PDB-CPX-100653,8vvr,1,mRNA,1
PDB-CPX-100653,8vvr,1,peptide,2
PDB-CPX-100654,8vvs,1,tRNA,3
PDB-CPX-100654,8vvs,1,mRNA,1
PDB-CPX-100654,8vvs,1,peptide,2
PDB-CPX-100655,8vvu,1,tRNA,3
PDB-CPX-100655,8vvu,1,mRNA,1
PDB-CPX-100655,8vvu,1,peptide,1
PDB-CPX-100656,5lzu,1,tRNA,2
PDB-CPX-100656,5lzu,1,mRNA,1
PDB-CPX-100657,6r5q,1,tRNA,2
PDB-CPX-100657,6r5q,1,mRNA,1
PDB-CPX-100658,6r6g,1,tRNA,2
PDB-CPX-100658,6r6g,1,mRNA,1
PDB-CPX-100658,6r6g,1,peptide,1
PDB-CPX-100659,6r7q,1,tRNA,2
PDB-CPX-100659,6r7q,1,mRNA,1
PDB-CPX-100660,6r6p,1,tRNA,2
PDB-CPX-100660,6r6p,1,mRNA,1
PDB-CPX-100661,6sgc,1,tRNA,2
PDB-CPX-100661,6sgc,1,mRNA,1
PDB-CPX-100661,6sgc,1,peptide,1
PDB-CPX-100662,8vvp,1,tRNA,3
PDB-CPX-100662,8vvp,1,mRNA,1
PDB-CPX-100662,8vvp,1,peptide,2
PDB-CPX-100663,3jag,1,tRNA,2
PDB-CPX-100663,3jag,1,mRNA,1
PDB-CPX-100663,3jag,1,peptide,1
PDB-CPX-100664,3jah,1,tRNA,2
PDB-CPX-100664,3jah,1,mRNA,1
PDB-CPX-100664,3jah,1,peptide,1
PDB-CPX-100665,3jai,1,tRNA,2
PDB-CPX-100665,3jai,1,mRNA,1
PDB-CPX-100665,3jai,1,peptide,1
PDB-CPX-100668,6fti,1,tRNA,1
PDB-CPX-100669,6t59,1,tRNA,1
PDB-CPX-100678,5wkf,1,antibody,1
PDB-CPX-100678,5wkf,2,antibody,1
PDB-CPX-100679,5wkh,1,antibody,1
PDB-CPX-100679,5wkh,2,antibody,1
PDB-CPX-100680,7ndt,1,peptide,2
PDB-CPX-100681,5wki,1,antibody,1
PDB-CPX-100688,7w39,1,peptide,1
PDB-CPX-100691,9nkg,1,peptide,1
PDB-CPX-100691,9nki,1,peptide,1
PDB-CPX-100692,9nkj,1,peptide,1
PDB-CPX-100701,8ulj,1,antibody,6
PDB-CPX-100701,8ulk,1,antibody,6
PDB-CPX-100704,9jii,1,antibody,4
PDB-CPX-100704,9jil,1,antibody,4
PDB-CPX-100737,6j5f,1,antibody,2
PDB-CPX-100738,8f5n,1,antibody,2
PDB-CPX-100746,7ecy,1,antibody,120
PDB-CPX-100748,6wds,1,antibody,120
PDB-CPX-100748,6wdt,1,antibody,120
PDB-CPX-100748,7ebr,1,antibody,120
PDB-CPX-100748,7ebz,1,antibody,120
PDB-CPX-100748,7ec5,1,antibody,120
PDB-CPX-100755,7ela,1,short RNA,1
PDB-CPX-100758,6aj7,1,antibody,120
PDB-CPX-100758,6aj9,1,antibody,240
PDB-CPX-100768,6ni3,1,antibody,1
PDB-CPX-100776,6fyu,1,antibody,3
PDB-CPX-100777,5v2a,1,antibody,6
PDB-CPX-100781,6e4y,1,antibody,1
PDB-CPX-100781,6e4z,1,antibody,1
PDB-CPX-100781,6mv5,1,antibody,1
PDB-CPX-100833,6rar,1,short DNA,3
PDB-CPX-100833,6ras,1,short DNA,3
PDB-CPX-100833,6rau,1,short DNA,2
PDB-CPX-100833,6rce,1,short DNA,3
PDB-CPX-100847,4mvb,1,peptide,1
PDB-CPX-100847,4mxq,1,peptide,1
PDB-CPX-100847,4n0c,1,peptide,1
PDB-CPX-100847,4n0c,2,peptide,1
PDB-CPX-100847,4n5e,1,peptide,1
PDB-CPX-100850,5o02,1,antibody,1
PDB-CPX-100853,6hxx,1,short RNA,35
PDB-CPX-100854,7dkj,1,antibody,6
PDB-CPX-100864,8pe3,1,short RNA,3
PDB-CPX-100867,6xcj,1,antibody,2
PDB-CPX-100868,6vy2,1,antibody,6
PDB-CPX-100894,3pl6,1,antibody,2
PDB-CPX-100907,7y8y,1,short RNA,1
PDB-CPX-100909,8d9g,1,short RNA,1
PDB-CPX-100910,8d9h,1,short RNA,1
PDB-CPX-100911,8gu6,1,short RNA,1
PDB-CPX-100919,8d8n,1,short RNA,1
PDB-CPX-100921,8d9e,1,short RNA,1
PDB-CPX-100922,8d9i,1,short RNA,1
PDB-CPX-100930,7omy,1,short DNA,1
PDB-CPX-100930,7omz,1,short DNA,1
PDB-CPX-100930,7on0,1,short DNA,1
PDB-CPX-100935,6wmr,1,short DNA,3
PDB-CPX-100936,6wmt,1,short DNA,2
PDB-CPX-100945,5vcj,1,antibody,1
PDB-CPX-100954,6v80,1,antibody,1
PDB-CPX-100954,6v80,2,antibody,1
PDB-CPX-100959,5c07,1,peptide,1
PDB-CPX-100959,5c07,2,peptide,1
PDB-CPX-100959,5c08,1,peptide,1
PDB-CPX-100959,5c08,2,peptide,1
PDB-CPX-100959,5c09,1,peptide,1
PDB-CPX-100959,5c09,2,peptide,1
PDB-CPX-100959,5c0a,1,peptide,1
PDB-CPX-100959,5c0a,2,peptide,1
PDB-CPX-100959,5c0b,1,peptide,1
PDB-CPX-100959,5c0b,2,peptide,1
PDB-CPX-100959,5c0c,1,peptide,1
PDB-CPX-100959,5c0c,2,peptide,1
PDB-CPX-100994,6p07,1,peptide,1
PDB-CPX-100995,3epd,1,peptide,60
PDB-CPX-101018,4ut6,1,antibody,2
PDB-CPX-101018,4ut6,2,antibody,2
PDB-CPX-101018,4utb,1,antibody,2
PDB-CPX-101018,4utb,2,antibody,2
PDB-CPX-101019,5n09,1,antibody,4
PDB-CPX-101019,5n0a,1,antibody,4
PDB-CPX-101020,7qqb,1,antibody,4
PDB-CPX-101028,9jqu,1,antibody,2
PDB-CPX-101028,9jqv,1,antibody,2
PDB-CPX-101028,9jqv,2,antibody,2
PDB-CPX-101029,8wsu,1,antibody,4
PDB-CPX-101032,6veq,1,antibody,2
PDB-CPX-101032,6veq,2,antibody,2
PDB-CPX-101036,7elh,1,short RNA,1
PDB-CPX-101037,8cz5,1,antibody,2
PDB-CPX-101050,9msd,1,antibody,12
PDB-CPX-101075,9cf2,1,short DNA,2
PDB-CPX-101082,7pks,1,short RNA,1
PDB-CPX-101083,9fyx,1,peptide,1
PDB-CPX-101083,9fyx,1,short RNA,2
PDB-CPX-101084,9g0a,1,peptide,1
PDB-CPX-101084,9g0a,1,short RNA,2
PDB-CPX-101086,9bz0,1,short RNA,1
PDB-CPX-101087,9eh1,1,short RNA,1
PDB-CPX-101089,9egx,1,short RNA,1
PDB-CPX-101090,9egy,1,short RNA,1
PDB-CPX-101091,9egz,1,short RNA,1
PDB-CPX-101092,9eh0,1,short RNA,1
PDB-CPX-101093,9eh2,1,short RNA,1
PDB-CPX-101095,9j0o,1,short RNA,1
PDB-CPX-101096,9j0p,1,short RNA,1
PDB-CPX-101097,9hvo,1,short RNA,1
PDB-CPX-101098,9hvq,1,short RNA,1
PDB-CPX-101115,8d4a,1,short DNA,2
PDB-CPX-101152,9d4s,1,short DNA,2
PDB-CPX-101156,8dvd,1,antibody,2
PDB-CPX-101177,8s6n,1,peptide,1
PDB-CPX-101177,8s6n,2,peptide,1
PDB-CPX-101177,8s6n,3,peptide,1
PDB-CPX-101177,8s6n,4,peptide,1
PDB-CPX-101177,8s6o,1,peptide,1
PDB-CPX-101177,8s6o,2,peptide,1
PDB-CPX-101177,8s6o,3,peptide,1
PDB-CPX-101177,8s6o,4,peptide,1
PDB-CPX-101177,8s6o,5,peptide,1
PDB-CPX-101177,8s6o,6,peptide,1
PDB-CPX-101177,8s6o,7,peptide,1
PDB-CPX-101177,8s6o,8,peptide,1
PDB-CPX-101181,7nhl,1,tRNA,1
PDB-CPX-101181,7nhl,1,short RNA,1
PDB-CPX-101185,7nhm,1,tRNA,1
PDB-CPX-101185,7nhm,1,short RNA,1
PDB-CPX-101186,8p2f,1,tRNA,2
PDB-CPX-101186,8p2f,1,mRNA,1
PDB-CPX-101196,8him,1,short RNA,1
PDB-CPX-101197,9evs,1,tRNA,1
PDB-CPX-101197,9evs,1,mRNA,1
PDB-CPX-101197,9evs,1,peptide,1
PDB-CPX-101198,8gv5,1,antibody,2
PDB-CPX-101203,8rh1,1,antibody,6
PDB-CPX-101203,8rh2,1,antibody,6
PDB-CPX-101204,8zrr,1,antibody,2
PDB-CPX-101205,8zre,1,antibody,240
PDB-CPX-101206,8zrh,1,antibody,4
PDB-CPX-101217,9cdu,1,peptide,1
PDB-CPX-101217,9cdu,2,peptide,1
PDB-CPX-101244,9rup,1,antibody,4
PDB-CPX-101244,9rup,1,peptide,2
PDB-CPX-101266,6q97,1,tRNA,2
PDB-CPX-101266,6q97,1,mRNA,1
PDB-CPX-101278,9mkk,1,tRNA,1
PDB-CPX-101278,9mkk,1,mRNA,1
PDB-CPX-101279,6orl,1,tRNA,1
PDB-CPX-101279,6orl,1,mRNA,1
PDB-CPX-101279,6orl,1,peptide,1
PDB-CPX-101283,7f87,1,peptide,1
PDB-CPX-101283,7f87,2,peptide,1
PDB-CPX-101284,8gpj,1,antibody,6
PDB-CPX-101285,8gp5,1,antibody,2
PDB-CPX-101286,8gpg,1,antibody,6
PDB-CPX-101290,6hiv,1,peptide,13
PDB-CPX-101300,8r9y,1,antibody,4
PDB-CPX-101300,8r9z,1,antibody,4
PDB-CPX-101314,6p4c,1,antibody,1
PDB-CPX-101315,6p4a,1,antibody,1
PDB-CPX-101315,6p4b,1,antibody,1
PDB-CPX-101315,6p4b,2,antibody,1
PDB-CPX-101324,7tfa,1,peptide,12
PDB-CPX-101325,7tfb,1,peptide,14
PDB-CPX-101335,6nj8,1,peptide,180
PDB-CPX-101360,7zg5,1,short DNA,2
PDB-CPX-101379,7cmk,1,antibody,120
PDB-CPX-101382,7c80,1,antibody,120
PDB-CPX-101382,7c81,1,antibody,120
PDB-CPX-101413,9hqv,1,peptide,5
PDB-CPX-101413,9hqv,1,short RNA,7
PDB-CPX-101417,9g6k,1,short RNA,7
PDB-CPX-101418,9i05,1,peptide,3
PDB-CPX-101418,9i05,1,short RNA,4
PDB-CPX-101421,9fia,1,peptide,10
PDB-CPX-101421,9fia,1,short RNA,10
PDB-CPX-101424,6opm,1,short DNA,2
PDB-CPX-101437,9ijj,1,peptide,1
PDB-CPX-101438,5m01,1,peptide,1
PDB-CPX-101438,5m02,1,peptide,1
PDB-CPX-101439,5m00,1,peptide,1
PDB-CPX-101447,6oor,1,antibody,1
PDB-CPX-101457,9mtf,1,antibody,6
PDB-CPX-101458,9mth,1,antibody,6
PDB-CPX-101459,9mtj,1,antibody,6
PDB-CPX-101462,7u8j,1,antibody,2
PDB-CPX-101462,7u8l,1,antibody,2
PDB-CPX-101463,7u8m,1,antibody,12
PDB-CPX-101470,6sdg,1,short DNA,2
PDB-CPX-101470,8oj1,1,short DNA,2
PDB-CPX-101480,8y7g,1,short RNA,6
PDB-CPX-101495,4v1n,1,short RNA,1
PDB-CPX-101496,4v1o,1,short RNA,1
PDB-CPX-101538,5zkm,1,short DNA,1
PDB-CPX-101565,7paf,1,antibody,2
PDB-CPX-101706,4kdp,1,short DNA,1
PDB-CPX-101706,4kdp,2,short DNA,1
PDB-CPX-101716,2z23,1,peptide,1
PDB-CPX-101732,7ok9,1,peptide,1
PDB-CPX-101732,7ok9,2,peptide,1
PDB-CPX-101732,7ok9,3,peptide,1
PDB-CPX-101732,7ok9,4,peptide,1
PDB-CPX-101732,7ok9,5,peptide,1
PDB-CPX-101732,7ok9,6,peptide,1
PDB-CPX-101732,7ok9,7,peptide,1
PDB-CPX-101732,7ok9,8,peptide,1
PDB-CPX-101732,7ok9,9,peptide,1
PDB-CPX-101732,7ok9,10,peptide,1
PDB-CPX-101760,7d5p,1,antibody,1
PDB-CPX-101760,7d5p,2,antibody,1
PDB-CPX-101760,7d5q,1,antibody,1
PDB-CPX-101760,7d5q,2,antibody,1
PDB-CPX-101778,7vfm,1,peptide,1
PDB-CPX-101778,7vfm,2,peptide,1
PDB-CPX-101778,7vfn,1,peptide,1
PDB-CPX-101779,7vfl,1,peptide,2
PDB-CPX-101781,9qeg,1,tRNA,1
PDB-CPX-101781,9qeg,1,mRNA,1
PDB-CPX-101781,9qeg,1,short RNA,2
PDB-CPX-101782,9qeh,1,tRNA,1
PDB-CPX-101782,9qeh,1,short RNA,1
PDB-CPX-101784,4lfd,1,peptide,1
PDB-CPX-101784,4lfd,2,peptide,1
PDB-CPX-101784,4lfd,3,peptide,1
PDB-CPX-101784,4lfd,4,peptide,1
PDB-CPX-101788,3gxq,1,short DNA,2
PDB-CPX-101796,5kds,1,peptide,1
PDB-CPX-101841,8ee2,1,antibody,2
PDB-CPX-101841,8ee2,2,antibody,2
PDB-CPX-101841,8ee2,3,antibody,2
PDB-CPX-101841,8eln,1,antibody,2
PDB-CPX-101841,8eln,2,antibody,2
PDB-CPX-101841,8eln,3,antibody,2
PDB-CPX-101841,8gjr,1,antibody,2
PDB-CPX-101851,4kji,1,short RNA,2
PDB-CPX-101861,8w7j,1,peptide,1
PDB-CPX-101867,7kyo,1,antibody,4
PDB-CPX-101875,9dqn,1,short DNA,2
PDB-CPX-101875,9dqn,2,short DNA,2
PDB-CPX-101877,8hf7,1,peptide,2
PDB-CPX-101926,6ij2,1,short RNA,2
PDB-CPX-101926,6ij2,2,short RNA,2
PDB-CPX-101946,6ptv,1,peptide,1
PDB-CPX-101946,6ptv,2,peptide,1
PDB-CPX-101967,8tp8,1,short DNA,4
PDB-CPX-101967,8tp8,2,short DNA,4
PDB-CPX-101967,8tpk,1,short DNA,4
PDB-CPX-101979,5yiv,1,short DNA,2
PDB-CPX-101979,5yiv,2,short DNA,2
PDB-CPX-101979,5yiv,3,short DNA,2
PDB-CPX-101979,5yiv,4,short DNA,2
PDB-CPX-101979,5yiw,1,short DNA,2
PDB-CPX-101979,5z7i,1,short DNA,2
PDB-CPX-101988,8ajb,1,antibody,8
PDB-CPX-102044,5kzt,1,peptide,1
PDB-CPX-102044,5kzt,2,peptide,1
PDB-CPX-102096,3zg5,1,peptide,1
PDB-CPX-102096,3zg5,2,peptide,1
PDB-CPX-102133,6gmz,1,peptide,2
PDB-CPX-102140,4nnp,1,antibody,2
PDB-CPX-102140,4nnp,2,antibody,2
PDB-CPX-102150,1kq2,1,short RNA,1
PDB-CPX-102151,4hqe,1,short DNA,2
PDB-CPX-102338,7n2v,1,tRNA,2
PDB-CPX-102338,7n2v,1,peptide,1
