ID,SYMMETRY
1a95_1,d2
1a96_1,d2
1a97_1,d2
1a98_1,d2
1a9c_1,d5
1a9c_2,d5
1a9m_1,c2
1a9o_1,c3
1a9p_1,c3
1a9q_1,c3
1a9r_1,c3
1a9s_1,c3
1a9t_1,c3
1a9w_1,d2
1a9x_1,d2
1a9y_1,c2
1a9z_1,c2
1aa0_1,c3
1aa1_1,d4
1aa7_1,c2
1aam_1,c2
1aap_1,c2
1aaq_1,c2
1aar_1,c2
1aat_1,c2
1aaw_1,c2
1ab0_1,c2
1ab4_1,c2
1ab8_1,c2
1ab8_2,d2
1ab9_2,c2
1ab9_3,c2
1abb_1,d2
1abo_3,c2
1abq_1,c2
1abw_1,c2
1aby_1,c2
1ac1_1,c2
1ac6_1,c2
1acd_1,c2
1acj_1,c2
1acl_1,c2
1acm_1,d3
1acv_1,c2
1ad1_1,c2
1ad3_1,c2
1ad4_1,c2
1ad9_1,c2
1ad9_2,c2
1adb_1,c2
1adc_1,c2
1ade_1,c2
1adf_1,c2
1adg_1,c2
1adi_1,c2
1adj_1,c2
1adj_2,c2
1adj_3,d2
1adl_1,c2
1ado_1,d2
1adw_1,c2
1ady_1,c2
1ady_2,c2
1ae1_1,c2
1ae1_2,d2
1ae2_1,c2
1ae3_1,c2
1ae6_1,c2
1ae7_2,c2
1ae9_1,c3
1aei_1,d3
1aer_1,c2
1aew_1,o
1af2_1,c2
1af5_1,c2
1af6_1,c3
1afa_1,c3
1afb_1,c3
1afd_1,c3
1afo_1,c3
1afr_1,c2
1afr_2,c2
1afr_3,c2
1afs_1,c2
1afv_1,c2
1afw_1,c2
1ag1_1,c2
1ag8_1,d2
1ag9_1,c2
1agn_1,c2
1agn_2,c2
1agn_4,c2
1agp_1,c2
1agq_1,c2
1ags_1,c2
1agx_1,d2
1ah6_1,c2
1ah8_1,c2
1ahe_1,c2
1ahf_1,c2
1ahg_1,c2
1ahh_1,d2
1ahi_1,d2
1ahj_5,c2
1ahj_6,c2
1ahp_1,c2
1ahs_1,c3
1ahu_1,d4
1ahv_1,d4
1ahv_2,c2
1ahx_1,c2
1ahy_1,c2
1ahz_1,d4
1ahz_2,c2
1ai0_1,d3
1ai2_1,c2
1ai3_1,c2
1aia_1,c2
1aib_1,c2
1aic_1,c2
1aid_1,c2
1aie_1,d2
1aih_1,c2
1aih_2,c2
1aik_1,d3
1ail_1,c2
1aip_1,c2
1aip_2,c2
1aiq_1,c2
1aiu_1,c2
1aiy_1,d3
1aiz_1,c2
1aj5_1,c2
1aj5_2,c2
1aj8_1,c2
1aj9_1,d2
1aja_1,c2
1ajb_1,c2
1ajc_1,c2
1ajd_1,c2
1ajm_1,c2
1ajr_1,c2
1ajs_1,c2
1ajv_1,c2
1ajx_1,c2
1ak5_1,c4
1aka_1,c2
1akb_1,c2
1akc_1,c2
1akm_1,c3
1al0_1,d5
1al1_2,d3
1al2_1,i
1al4_1,c2
1al6_1,c2
1al7_1,c4
1al7_2,d4
1al8_1,c4
1ald_1,d2
1alh_1,c2
1ali_1,c2
1alj_1,c2
1alk_1,c2
1all_1,c2
1all_2,c3
1aln_1,c2
1alu_1,c2
1alu_2,c2
1alv_1,c2
1alw_1,c2
1alx_1,c2
1aly_1,c3
1alz_1,c2
1am1_1,c2
1am2_1,c2
1am7_1,c2
1am9_1,c2
1ama_1,c2
1amh_1,c2
1amk_1,c2
1amn_1,c2
1amp_1,c2
1amq_1,c2
1amr_1,c2
1ams_1,c2
1amw_1,c2
1amz_1,c2
1an2_1,c2
1an4_1,c2
1an5_1,c2
1an7_1,d2
1an8_1,c2
1an9_1,c2
1anb_1,c2
1anc_1,c2
1and_1,c2
1ane_1,c2
1ang_1,c2
1ani_1,c2
1anj_1,c2
1anu_1,c2
1ao0_1,d2
1ao5_1,c2
1ao7_2,c2
1aob_1,c2
1aof_1,c2
1aog_1,c2
1aoh_1,c2
1aoi_1,c2
1aoj_1,c2
1aok_1,c2
1aom_1,c2
1aon_1,c7
1aoq_1,c2
1aor_1,c2
1aos_1,d2
1aox_1,c2
1aoz_1,c2
1aoz_2,d2
1ap2_1,c2
1ap2_2,c2
1ap5_1,d2
1ap6_1,d2
1ap9_1,c3
1aph_1,c3
1aph_2,c2
1aph_3,c2
1apl_1,c2
1apn_1,d2
1apu_2,c2
1apx_1,c2
1apx_2,c2
1apy_1,c2
1apz_1,c2
1aq3_1,i
1aq4_1,i
1aq5_1,c3
1aq6_1,c2
1aq8_1,c3
1aqe_1,c2
1aqf_1,d2
1aqf_2,d2
1aqk_1,c2
1aqt_1,c2
1aqu_1,c2
1aqv_1,c2
1aqw_1,c2
1aqw_2,c2
1aqx_1,c2
1aqx_2,c2
1aqy_1,c2
1ar0_1,c2
1ar2_1,c2
1ar4_1,d2
1ar5_1,d2
1ar6_1,i
1ar7_1,i
1ar8_1,i
1ar9_1,i
1arg_1,c2
1arh_1,c2
1ari_1,c2
1arq_1,c2
1arr_1,c2
1ars_1,c2
1art_1,c2
1arz_1,d2
1as6_1,c3
1as7_1,c3
1as8_1,c3
1asa_1,c2
1asb_1,c2
1asc_1,c2
1asd_1,c2
1ase_1,c2
1asf_1,c2
1asg_1,c2
1asj_1,i
1ask_1,c2
1asl_1,c2
1asm_1,c2
1asn_1,c2
1aso_1,c2
1aso_2,d2
1asp_1,c2
1asp_2,d2
1asq_1,c2
1asq_2,d2
1ass_1,c2
1asu_1,c2
1asv_1,c2
1asw_1,c2
1asx_1,c2
1asy_1,c2
1asz_1,c2
1at0_1,c2
1at1_1,d3
1at3_1,c2
1at3_2,c2
1at9_1,c3
1ati_1,c2
1au7_1,c2
1aua_1,c2
1auc_1,c2
1aug_1,d2
1auk_1,d4
1aum_1,c2
1auo_1,c2
1aup_1,d3
1aur_1,c2
1aus_1,d4
1auu_1,c2
1auv_1,d2
1auw_1,d2
1aux_1,d2
1auy_1,i
1av1_1,d2
1av2_1,c3
1av2_2,c3
1av4_1,c2
1av5_1,c2
1av8_1,c2
1avb_1,c2
1avd_1,d2
1ave_1,d2
1avk_1,c2
1avl_1,c2
1avm_1,d2
1avo_1,c7
1avq_1,c3
1avv_1,c2
1avy_1,c3
1avy_2,c3
1avy_3,c3
1avz_1,c2
1aw1_1,c2
1aw1_2,c2
1aw1_3,c2
1aw1_4,c2
1aw2_1,c2
1aw2_2,c2
1aw2_3,c2
1aw2_4,c2
1aw5_1,d4
1aw8_1,c4
1aw9_1,d3
1awb_1,c2
1awd_1,c2
1ax0_1,c2
1ax1_1,c2
1ax2_1,c2
1ax4_1,d2
1ax8_2,c3
1ax9_1,c2
1axa_1,c2
1axc_1,c3
1axd_1,c2
1axe_1,c2
1axg_1,c2
1axg_2,c2
1axi_1,c2
1axk_1,c3
1axm_1,c2
1axm_2,c2
1axm_3,c2
1axr_1,c2
1axw_1,c2
1axy_1,c2
1axz_1,c2
1ay0_1,c2
1ay1_1,c2
1ay2_1,c2
1ay4_1,c2
1ay5_1,c2
1ay8_1,c2
1ay9_1,c2
1ay9_2,c2
1ayf_1,c2
1ayi_1,c2
1aym_1,i
1ayn_1,i
1ayp_1,c2
1ayp_2,c2
1ayp_3,c2
1ayr_1,c2
1ayy_1,c2
1az0_1,c2
1az3_1,c2
1az4_1,c2
1az5_1,c2
1azb_1,c2
1azc_1,c2
1azd_1,d2
1azn_1,c2
1azn_2,c2
1azr_1,c2
1azr_2,c2
1azs_1,c2
1azt_1,c2
1azv_1,c2
1azw_1,c2
1azy_1,c2
1azz_1,c2
1b01_1,c2
1b06_1,d2
1b06_2,d2
1b08_1,c3
1b09_1,c5
1b0a_1,c2
1b0c_1,c2
1b0n_1,c2
1b0n_2,c2
1b0n_3,c2
1b0n_4,c2
1b0n_5,c2
1b0n_6,c2
1b0o_1,c2
1b0p_1,c2
1b0x_1,c2
1b0z_1,c2
1b0z_2,d2
1b11_1,c2
1b14_1,c2
1b15_1,c2
1b16_1,c2
1b17_1,c3
1b17_2,c3
1b17_3,c2
1b18_1,c3
1b18_2,c3
1b18_3,c2
1b19_1,c3
1b19_2,c3
1b19_3,c2
1b1z_1,d2
1b25_1,d2
1b26_1,d3
1b28_1,c2
1b2a_1,c3
1b2a_2,c3
1b2a_3,c2
1b2b_1,c3
1b2b_2,c3
1b2b_3,c2
1b2c_1,c3
1b2c_2,c3
1b2d_1,c3
1b2d_2,c3
1b2d_3,c2
1b2e_1,c3
1b2e_2,c3
1b2e_3,c2
1b2f_1,c3
1b2f_2,c2
1b2g_1,c3
1b2l_1,c2
1b2p_1,d2
1b2p_2,c2
1b2w_1,c2
1b33_1,c3
1b33_2,c3
1b35_1,i
1b37_4,c2
1b37_5,c2
1b37_6,c2
1b3b_1,d3
1b3n_1,c2
1b3o_1,c4
1b3o_2,c4
1b3r_1,d2
1b3t_1,c2
1b41_1,c2
1b42_1,c2
1b43_1,c2
1b44_1,c5
1b48_1,c2
1b49_1,c2
1b4a_1,d3
1b4b_1,d3
1b4c_1,c2
1b4e_1,d4
1b4f_1,c2
1b4f_2,c2
1b4j_1,c2
1b4k_1,d4
1b4l_1,c2
1b4n_1,d2
1b4p_1,c2
1b4s_1,d3
1b4t_1,c2
1b4u_1,c2
1b4w_1,d2
1b4x_1,c2
1b50_1,c2
1b53_1,c2
1b55_1,c2
1b57_1,c2
1b5d_2,c2
1b5e_2,c2
1b5f_1,c2
1b5o_1,c2
1b5p_1,c2
1b5q_1,c2
1b5q_2,c2
1b5q_3,c2
1b5s_1,i
1b62_1,c2
1b63_1,c2
1b65_1,d2
1b65_2,d2
1b66_1,d3
1b66_2,c3
1b66_3,c3
1b67_1,c2
1b6c_5,c2
1b6k_1,c2
1b6l_1,c2
1b6m_1,c2
1b6p_1,c2
1b6q_1,c2
1b6s_1,c2
1b6s_2,c2
1b6t_1,d3
1b6u_1,c2
1b6w_1,c2
1b6z_1,c2
1b6z_2,d3
1b70_1,c2
1b71_1,c2
1b71_2,d2
1b73_1,c2
1b74_1,c2
1b76_1,c2
1b77_1,c3
1b78_1,c2
1b7a_1,c2
1b7b_1,c2
1b7b_2,c2
1b7e_1,c2
1b7g_1,c2
1b7g_2,d2
1b7y_1,c2
1b86_1,d2
1b87_2,c2
1b88_1,c2
1b8a_1,c2
1b8c_1,c2
1b8d_1,c3
1b8e_1,c2
1b8f_1,d2
1b8g_1,c2
1b8j_1,c2
1b8k_1,c2
1b8m_1,c2
1b8n_2,c3
1b8o_2,c3
1b8p_1,c2
1b8u_1,c2
1b8v_1,c2
1b8x_2,c2
1b8y_2,c2
1b8z_1,c2
1b92_2,c2
1b93_1,d3
1b94_1,c2
1b95_1,c2
1b96_1,c2
1b97_1,c2
1b98_1,c2
1b99_1,d3
1b9b_1,d2
1b9b_2,c2
1b9d_2,c2
1b9e_1,c2
1b9e_2,c2
1b9f_2,c2
1b9h_1,c2
1b9i_1,c2
1b9l_1,d4
1b9l_2,c4
1b9l_3,c4
1b9s_1,c4
1b9t_1,c4
1b9v_1,c4
1bab_1,d2
1baf_1,c2
1bai_1,c2
1baj_1,c2
1bam_1,c2
1bar_3,c2
1bar_5,c2
1baw_1,d3
1baw_2,c3
1bay_1,c2
1baz_1,c2
1bb1_1,c3
1bb9_1,c2
1bbb_1,d2
1bbh_1,c2
1bbp_1,d2
1bbs_3,c3
1bbs_4,c3
1bbt_1,i
1bbu_1,c2
1bbw_1,c2
1bbx_1,c2
1bc2_1,c2
1bcc_1,c2
1bcf_1,o
1bcg_1,c2
1bch_1,c3
1bcj_1,c3
1bcm_1,c2
1bcr_1,c2
1bcs_1,c2
1bd0_1,c2
1bd3_1,d2
1bd4_1,d2
1bd7_1,c2
1bd9_1,c2
1bdb_1,d2
1bdf_1,c2
1bdh_1,c2
1bdi_1,c2
1bdl_1,c2
1bdm_1,c2
1bdo_1,c2
1bdq_1,c2
1bdr_1,c2
1bdt_1,c2
1bdu_1,c2
1bdv_1,c2
1bdw_1,c3
1bdx_1,c4
1be3_2,c2
1be4_1,d3
1be7_1,c3
1bec_1,c2
1bed_1,c2
1ben_1,c3
1ben_10,c3
1ben_11,c3
1ben_12,c3
1ben_13,d3
1ben_3,d3
1ben_4,d3
1ben_5,c3
1ben_6,c3
1ben_7,c3
1ben_8,c3
1ben_9,c3
1beo_1,c2
1bet_1,c2
1beu_1,c2
1bev_1,i
1bex_1,c2
1bex_2,c2
1bf3_1,c2
1bf5_1,c2
1bfd_1,d2
1bfm_1,c2
1bfo_1,c2
1bfo_4,c2
1bfr_1,o
1bfs_1,c2
1bft_1,c2
1bfv_1,c2
1bfv_2,c2
1bfv_3,c2
1bg1_1,c2
1bg5_1,c2
1bg6_1,c2
1bg7_1,o
1bg8_1,c2
1bg8_2,c2
1bg9_1,c2
1bga_1,d4
1bgb_1,c2
1bgf_1,c2
1bgg_1,d4
1bgj_1,c2
1bgn_1,c2
1bgp_1,c2
1bgq_1,c2
1bgv_1,d3
1bgw_1,c2
1bgy_1,c2
1bh0_1,c3
1bh3_1,c3
1bh5_1,c2
1bh5_2,c2
1bhc_1,d5
1bhg_1,d2
1bhh_1,c2
1bhj_1,d2
1bhl_1,c2
1bhm_1,c2
1bhn_1,d3
1bho_1,c2
1bhp_1,c4
1bhq_1,c2
1bhs_1,c2
1bht_1,c2
1bhw_1,d2
1bhy_1,c2
1bi2_1,c2
1bi3_1,c2
1bi4_1,c2
1bi5_1,c2
1bi7_1,c2
1bi8_1,c2
1bi9_1,d2
1bi9_2,d2
1bid_1,c2
1bif_1,c2
1bih_1,c2
1bij_1,d2
1bil_1,c3
1bim_1,c3
1biq_1,c2
1bis_1,c2
1biu_1,c2
1biu_2,c2
1biw_1,c2
1biz_1,c2
1bj1_1,c2
1bj3_1,c2
1bjf_1,c2
1bjg_1,c2
1bji_1,c4
1bjj_10,c2
1bjj_7,c2
1bjj_8,c2
1bjj_9,c2
1bjn_1,c2
1bjo_1,c2
1bjp_1,d3
1bjp_2,d3
1bjp_3,d3
1bjq_1,d2
1bjq_2,d2
1bjt_1,c2
1bjw_1,c2
1bjz_1,c2
1bk4_2,d2
1bk5_1,c2
1bkb_1,c4
1bkd_1,c4
1bkf_1,c2
1bkg_1,c2
1bkg_2,c2
1bkh_1,d4
1bkh_2,d4
1bkj_1,c2
1bkl_1,c2
1bkn_1,c2
1bko_1,c2
1bko_2,c2
1bkp_1,c2
1bks_1,c2
1bkv_1,c3
1bkw_2,c2
1bky_1,c2
1bkz_1,c2
1bl4_1,c2
1bl5_1,c2
1bl8_1,c4
1bl9_1,c2
1blb_1,d2
1blb_2,d2
1blc_1,c2
1ble_1,c3
1bll_1,d3
1bm1_1,c3
1bm2_2,c2
1bm3_1,c2
1bm7_1,d2
1bm9_1,c2
1bm9_2,c2
1bmb_2,c2
1bmd_1,c2
1bmf_1,c3
1bml_1,c2
1bmo_1,c2
1bmp_1,c2
1bmq_2,c2
1bms_1,i
1bmt_1,c2
1bmv_1,i
1bmz_1,c2
1bmz_2,d2
1bnc_1,c2
1bnd_1,c2
1bnd_2,c2
1bo1_1,c2
1bo4_1,c2
1bo5_1,c2
1bo5_2,d2
1bo5_3,c2
1bo5_4,c2
1bo6_1,c2
1bo7_1,c2
1bo8_1,c2
1bog_1,c2
1bom_1,c3
1bon_1,c3
1bos_1,c5
1bos_2,c5
1bos_3,c5
1bos_4,c5
1bot_1,c2
1bot_2,c2
1bou_1,c2
1bow_1,c2
1boy_1,c2
1bp0_1,c2
1bp6_2,c2
1bp7_1,c2
1bp7_2,c2
1bph_1,c3
1bph_2,c2
1bph_3,c2
1bph_4,c2
1bpj_2,c2
1bpm_1,d3
1bpn_1,d3
1bpo_1,c2
1bpo_2,d3
1bpo_3,c2
1bpo_4,c2
1bpq_1,c2
1bpw_1,d2
1bq1_1,c2
1bq2_1,c2
1bq3_1,d2
1bq4_1,d2
1bq5_1,c3
1bq6_1,c2
1bq7_1,c2
1bqa_1,c2
1bqd_1,c2
1bqg_1,d2
1bql_1,c2
1bqo_1,c2
1bqo_3,c2
1bqp_3,c2
1bqy_1,c2
1bra_1,c2
1brd_1,c3
1bre_1,c2
1brl_1,c2
1brl_2,c2
1brm_1,c2
1brm_2,c2
1bro_1,c3
1bro_2,c3
1brr_1,c3
1brt_1,c3
1brw_1,c2
1brx_1,c3
1bs0_2,c2
1bs1_2,c2
1bs3_1,d2
1bsf_1,c2
1bsl_1,c2
1bsm_1,d2
1bso_1,c2
1bsp_1,c2
1bsr_1,c2
1bsr_2,d2
1bss_1,c2
1bsu_1,c2
1bsv_1,c2
1bsy_1,c2
1bt4_1,c2
1bt6_1,c2
1bt6_2,d2
1bt8_1,d2
1bt9_1,c3
1btg_1,c2
1btg_2,c2
1btg_3,c2
1btg_4,c2
1btk_1,c2
1btm_1,c2
1btn_1,c2
1bto_1,c2
1bto_2,c2
1bu3_1,c2
1bu6_1,d2
1bu6_2,c2
1bu6_3,c2
1bua_1,c2
1buc_1,d2
1buo_1,c2
1buq_1,c2
1buu_1,c3
1buu_2,c3
1buw_1,d2
1bux_1,d3
1bv1_1,c2
1bv4_1,c2
1bv7_1,c2
1bv9_1,c2
1bve_1,c2
1bvg_1,c2
1bvk_1,c2
1bvk_2,c2
1bvl_1,c2
1bvl_2,c2
1bvo_1,c2
1bvp_1,c3
1bvp_2,c3
1bvp_3,d3
1bvq_1,d2
1bvr_1,d2
1bvr_2,c2
1bvr_3,d2
1bvu_1,d3
1bvy_1,c2
1bw0_1,c2
1bw9_1,c2
1bwa_1,c2
1bwb_1,c2
1bwc_1,c2
1bwd_1,c2
1bwf_1,c2
1bwn_1,c2
1bwn_2,d2
1bwp_1,c2
1bwq_1,c2
1bwr_1,c2
1bws_2,c2
1bwu_2,c2
1bwu_3,c2
1bwv_1,d4
1bww_1,c2
1bx2_1,c2
1bx3_1,c2
1bx9_1,c2
1bxb_1,d2
1bxc_1,d2
1bxg_1,c2
1bxh_1,d2
1bxk_1,c2
1bxm_1,c2
1bxn_1,d4
1bxr_1,d2
1bxs_1,d2
1bxz_1,d2
1by9_1,c2
1bye_1,c2
1bye_2,c2
1bye_3,c2
1bye_4,c2
1byf_1,c2
1byf_2,c2
1byf_3,c2
1byi_1,c2
1byl_1,c2
1byr_1,c2
1bys_1,c2
1byu_1,c2
1bz0_1,d2
1bz1_1,d2
1bz5_1,d5
1bz7_1,c2
1bz8_1,d2
1bz9_2,c2
1bzd_1,d2
1bze_1,d2
1bzl_1,c2
1bzo_1,c2
1bzv_1,c3
1bzw_1,c2
1bzy_1,d2
1bzz_1,d2
1c02_1,c2
1c08_1,c2
1c0i_1,c2
1c0k_1,c2
1c0l_1,c2
1c0n_1,c2
1c0p_1,c2
1c0w_1,c2
1c12_1,c2
1c14_1,d2
1c16_5,d2
1c17_1,c3
1c1d_1,c2
1c1e_1,c2
1c1f_1,c2
1c1j_1,c2
1c1j_2,c2
1c1l_1,c2
1c1x_1,c2
1c26_1,d2
1c28_1,c3
1c29_1,c2
1c2b_1,c2
1c2o_1,c2
1c2o_2,c2
1c2p_1,c2
1c2t_1,c2
1c2y_1,c2
1c2y_2,i
1c30_1,d2
1c39_1,c2
1c3a_1,c4
1c3a_2,c2
1c3b_1,c2
1c3c_1,d2
1c3e_1,c2
1c3h_1,c3
1c3h_2,c3
1c3i_1,c2
1c3k_1,c2
1c3k_2,d4
1c3m_1,c2
1c3n_1,c2
1c3n_2,d4
1c3o_1,d2
1c3q_1,c3
1c3r_1,c2
1c3u_1,d2
1c3v_1,d2
1c3w_1,c3
1c3x_1,c3
1c40_1,d2
1c41_1,c5
1c41_2,c5
1c41_3,d5
1c47_1,c2
1c48_1,c5
1c4d_1,c2
1c4d_2,c3
1c4g_1,c2
1c4k_2,c2
1c4p_1,c2
1c4q_1,c5
1c4t_1,c3
1c4x_1,d4
1c4z_1,c3
1c50_1,c2
1c57_1,d2
1c5b_1,c2
1c5c_1,c2
1c5d_1,c3
1c5e_1,c3
1c6o_1,c2
1c6v_1,c2
1c6x_1,c2
1c6y_1,c2
1c6z_1,c2
1c70_1,c2
1c72_1,c2
1c72_2,c2
1c78_1,c2
1c79_1,c2
1c7b_1,d2
1c7c_1,c2
1c7d_1,c2
1c7g_1,d2
1c7h_1,c2
1c7n_1,c2
1c7n_2,c2
1c7n_3,c2
1c7n_4,c2
1c7o_1,c2
1c7o_2,c2
1c7o_3,c2
1c7o_4,c2
1c7q_1,c2
1c7r_1,c2
1c7r_2,d2
1c7u_1,c2
1c7y_1,c4
1c7z_1,c2
1c80_1,c2
1c8b_1,d2
1c8b_2,c2
1c8d_1,i
1c8e_1,i
1c8f_1,i
1c8g_1,i
1c8h_1,i
1c8k_1,c2
1c8l_1,c2
1c8m_1,i
1c8n_1,i
1c8r_1,c3
1c8s_1,c3
1c8t_1,c2
1c8u_1,c2
1c8v_1,c2
1c94_1,c3
1c94_2,c4
1c9c_1,c2
1c9d_1,c2
1c9k_1,c3
1c9o_1,c2
1c9s_1,c11
1c9s_2,c11
1c9u_1,c2
1c9y_1,c3
1ca1_2,c2
1ca1_3,c2
1ca4_1,c3
1ca4_2,c3
1ca7_1,c3
1ca9_2,c3
1cag_1,c3
1caq_2,c2
1cau_1,d3
1cav_1,d3
1caw_1,d3
1cax_1,d3
1cb0_1,c3
1cb4_1,c2
1cb5_1,d3
1cb7_1,c2
1cbf_1,c2
1cbg_1,c2
1cbi_1,c2
1cbj_1,c2
1cbk_1,c2
1cbl_1,d2
1cbm_1,d2
1cbq_1,c3
1cbr_1,c2
1cbu_1,c3
1cbv_1,c2
1cbw_3,c2
1cby_1,c2
1cc4_2,c2
1cc5_1,c2
1ccd_1,c2
1ccw_1,c2
1cd0_1,c2
1cd3_1,d5
1cd5_1,d3
1cd8_1,c2
1cd9_1,c2
1cdc_1,c2
1cdd_1,c2
1cdh_1,c2
1cdi_1,c2
1cdo_1,c2
1cdp_1,c2
1cdt_1,c2
1ce0_1,c3
1ce8_1,d2
1ce9_1,c2
1ce9_2,c3
1ce9_3,c3
1ceh_1,c2
1cei_1,c2
1ceq_1,d2
1cer_1,d2
1cer_2,d2
1ces_1,d2
1cet_1,d2
1cev_1,d3
1cev_2,d3
1cf1_5,c2
1cf2_1,d2
1cf8_2,c2
1cf9_1,d2
1cfb_2,c4
1cfp_1,c2
1cfq_1,c2
1cfr_1,d2
1cfv_1,c2
1cfw_1,c2
1cg0_1,c2
1cg1_1,c2
1cg2_1,d2
1cg3_1,c2
1cg4_1,c2
1cg5_1,d2
1cg6_1,c3
1cg8_1,d2
1cgd_1,c3
1cgk_1,c2
1cgp_1,c2
1cgq_1,c3
1cgs_1,c2
1cgz_1,c2
1ch4_1,d2
1ch8_2,c2
1chh_1,c2
1chi_1,c2
1chj_1,c2
1chm_1,c2
1chp_1,c5
1chq_1,c5
1chu_1,c2
1chw_1,c2
1ci0_1,c2
1ci1_1,c2
1ci3_2,d3
1ci3_3,c2
1ci4_1,c2
1ci6_1,c3
1ci6_2,c2
1ci6_3,c2
1ci6_4,c2
1ci7_1,c2
1ci8_1,c2
1ci9_1,c2
1cia_1,c3
1cia_2,d3
1cib_2,c2
1cic_1,c2
1cie_1,c2
1cif_1,c2
1cih_1,c2
1ciq_1,c6
1civ_1,c2
1ciw_1,c2
1ciz_2,c2
1cj0_1,c2
1cj1_1,c2
1cj1_2,c2
1cj1_3,c2
1cj1_4,c2
1cj1_5,c2
1cj1_6,c2
1cj2_1,c2
1cj2_2,c2
1cj3_1,c2
1cj3_2,c2
1cj4_1,c2
1cj4_2,c2
1cjb_1,d2
1cjb_2,d2
1cjd_1,c3
1cje_1,c2
1cje_2,c2
1cjf_1,c2
1cjg_1,c2
1cjk_1,c2
1cjp_1,d2
1cjq_2,c2
1cjt_1,c2
1cju_1,c2
1cjv_1,c2
1cjx_1,d2
1ck1_1,c2
1ckm_3,c2
1ckm_4,c2
1ckm_5,c2
1ckn_3,c2
1ckn_4,c2
1cko_2,c2
1ckq_1,c2
1cks_1,d3
1cku_1,c2
1cl0_1,c2
1cl1_1,d2
1cl2_1,d2
1cl7_1,c2
1cl8_1,c2
1cla_1,c3
1cla_2,d3
1cli_1,c2
1cli_2,c2
